Agency Name,State Name [District] Latest available year,County Name [District] 2014-15,Total Number Operational Schools [Public School] 2014-15,Total Number Operational Charter Schools [Public School] 2014-15,Total Number of Public Schools [Public School] 2014-15,Agency Type [District] 2014-15,Urban-centric Locale [District] 2014-15,Agency Charter Status [District] 2014-15,Lowest Grade Offered [District] 2014-15,Highest Grade Offered [District] 2014-15,"Total Students, All Grades (Excludes AE) [District] 2014-15",Full-Time Equivalent (FTE) Teachers [District] 2014-15,Pupil/Teacher Ratio [District] 2014-15
LEGACY PREPARATORY ACADEMY,Utah,DAVIS COUNTY,1,1,1,7-Independent Charter District,41-Rural: Fringe,1-All associated schools are charter schools,Kindergarten,9th Grade,1064,–,–
LEGACY SCHOOLS,Arizona,MARICOPA COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,8th Grade,212,–,–
LEGACY TRADITIONAL CHARTER SCHOOL,ARIZONA,PINAL COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,Kindergarten,8th Grade,951,–,–
LEGACY TRADITIONAL CHARTER SCHOOL - LAVEEN VILLAGE,Arizona,MARICOPA COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,8th Grade,748,–,–
LEGACY TRADITIONAL CHARTER SCHOOL - MARICOPA,Arizona,PINAL COUNTY,1,1,1,7-Independent Charter District,32-Town: Distant,1-All associated schools are charter schools,Kindergarten,10th Grade,1155,–,–
LEGACY TRADITIONAL CHARTER SCHOOLS - CASA GRANDE,Arizona,PINAL COUNTY,1,1,1,7-Independent Charter District,23-Suburb: Small,1-All associated schools are charter schools,Kindergarten,8th Grade,1025,–,–
LEGACY TRADITIONAL SCHOOL - AVONDALE,Arizona,PINAL COUNTY,1,1,1,7-Independent Charter District,22-Suburb: Mid-size,1-All associated schools are charter schools,Kindergarten,8th Grade,1040,–,–
LEGACY TRADITIONAL SCHOOL - GILBERT,Arizona,MARICOPA COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,Kindergarten,8th Grade,901,–,–
LEGACY TRADITIONAL SCHOOL - NORTHWEST TUCSON,Arizona,PIMA COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,Kindergarten,8th Grade,1157,–,–
LEGGETT ISD,Texas,POLK COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,168,15.56,10.8
LEGGETT VALLEY UNIFIED,California,MENDOCINO COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Kindergarten,12th Grade,92,11.02,8.35
LEHIGH CAREER & TECHNICAL INSTITUTE,Pennsylvania,LEHIGH COUNTY,1,0,1,4-Regional Education Service Agency (RESA),21-Suburb: Large,3-All associated schools are noncharter,9th Grade,12th Grade,0,91.2,0
LEHIGH VALLEY ACADEMY REGIONAL CS,Pennsylvania,NORTHAMPTON COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,Kindergarten,12th Grade,1571,100.78,15.59
LEHIGH VALLEY CHARTER HIGH SCHOOL FOR THE ARTS,Pennsylvania,NORTHAMPTON COUNTY,1,1,1,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,9th Grade,12th Grade,495,26.9,18.4
LEHIGH VALLEY DUAL LANGUAGE CHARTER SCHOOL,Pennsylvania,NORTHAMPTON COUNTY,1,1,1,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,Kindergarten,8th Grade,434,25,17.36
LEHIGHTON AREA SD,Pennsylvania,CARBON COUNTY,6,0,6,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Kindergarten,12th Grade,2365,175,13.51
LEICESTER,Massachusetts,WORCESTER COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,1605,105.57,15.2
LEICESTER SCHOOL DISTRICT,Vermont,ADDISON COUNTY,1,†,1,2-Local school district that is a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,6th Grade,60,5.2,11.54
LEIGH COMMUNITY SCHOOLS,Nebraska,COLFAX COUNTY,2,†,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,183,–,–
LEIPSIC LOCAL,Ohio,PUTNAM COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Kindergarten,12th Grade,634,–,–
LELAND AND GRAY UHSD #34,Vermont,WINDHAM COUNTY,1,†,1,2-Local school district that is a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,7th Grade,12th Grade,273,30.93,8.83
LELAND CUSD 1,Illinois,LASALLE COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,276,21.63,12.76
LELAND PUBLIC SCHOOL DISTRICT,Michigan,LEELANAU COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,454,34,13.35
LELAND SCHOOL DIST,Mississippi,WASHINGTON COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,924,59.38,15.56
LEMINGTON SCHOOL DISTRICT,Vermont,ESSEX COUNTY,0,†,†,2-Local school district that is a component of a supervisory union,43-Rural: Remote,†,Prekindergarten,12th Grade,13,–,–
LEMMON SCHOOL DISTRICT 52-4,South Dakota,PERKINS COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,267,20.95,12.74
LEMON GROVE,California,SAN DIEGO COUNTY,6,0,6,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Kindergarten,8th Grade,3922,156.27,25.1
LEMONT TWP HSD 210,Illinois,COOK COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,9th Grade,12th Grade,1405,90.97,15.44
LEMONT-BROMBEREK CSD 113A,Illinois,COOK COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,8th Grade,2191,107.37,20.41
LEMOORE UNION ELEMENTARY,California,KINGS COUNTY,7,1,7,1-Regular local school district that is NOT a component of a supervisory union,23-Suburb: Small,2-All associated schools are charter and noncharter,Kindergarten,8th Grade,3228,135.7,23.79
LEMOORE UNION HIGH,California,KINGS COUNTY,3,1,3,1-Regular local school district that is NOT a component of a supervisory union,23-Suburb: Small,2-All associated schools are charter and noncharter,9th Grade,12th Grade,2340,107.92,21.68
LEMPSTER SCHOOL DISTRICT,NEW HAMPSHIRE,SULLIVAN COUNTY,0,0,†,2-Local school district that is a component of a supervisory union,42-Rural: Distant,†,†,†,†,†,†
LENA SCHOOL DISTRICT,Wisconsin,OCONTO COUNTY,3,0,4,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,2-All associated schools are charter and noncharter,Prekindergarten,12th Grade,373,–,–
LENA WINSLOW CUSD 202,Illinois,STEPHENSON COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,837,62.05,13.49
LENAPE REGIONAL HIGH SCHOOL DISTRICT,New Jersey,BURLINGTON COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,9th Grade,12th Grade,247,586.96,0.42
LENAPE TECH,Pennsylvania,ARMSTRONG COUNTY,1,0,1,4-Regional Education Service Agency (RESA),41-Rural: Fringe,3-All associated schools are noncharter,9th Grade,12th Grade,564,40.2,14.03
LENAPE VALLEY REGIONAL HIGH SCHOOL DISTRICT,New Jersey,SUSSEX COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,9th Grade,12th Grade,108,61.6,1.75
LENAWEE ISD,Michigan,LENAWEE COUNTY,3,0,4,4-Regional Education Service Agency (RESA),32-Town: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,491,71.08,6.91
LENNEP ELEM,Montana,MEAGHER COUNTY,0,†,1,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,†,Prekindergarten,8th Grade,†,†,†
LENNOX,California,LOS ANGELES COUNTY,10,4,10,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,2-All associated schools are charter and noncharter,Kindergarten,12th Grade,7022,317.27,22.13
LENNOX SCHOOL DISTRICT 41-4,South Dakota,LINCOLN COUNTY,4,0,5,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,1044,66.74,15.64
LENOIR CITY,Tennessee,LOUDON COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,2397,140,17.12
LENOIR COUNTY PUBLIC SCHOOLS,North Carolina,LENOIR COUNTY,17,0,17,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,13th Grade,9274,590.82,15.7
LENOX,Massachusetts,BERKSHIRE COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,31-Town: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,728,78.35,9.29
LENOX COMM SCHOOL DISTRICT,Iowa,TAYLOR COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,504,42.24,11.93
LEOLA SCHOOL DISTRICT 44-2,South Dakota,MCPHERSON COUNTY,6,0,6,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Kindergarten,12th Grade,183,22.75,8.04
LEOMINSTER,Massachusetts,WORCESTER COUNTY,12,0,12,1-Regular local school district that is NOT a component of a supervisory union,22-Suburb: Mid-size,3-All associated schools are noncharter,Prekindergarten,12th Grade,6096,441.15,13.82
LEON,Florida,LEON COUNTY,59,5,62,1-Regular local school district that is NOT a component of a supervisory union,12-City: Mid-size,2-All associated schools are charter and noncharter,Prekindergarten,12th Grade,33681,2105.92,15.99
LEON ISD,Texas,LEON COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,741,72.79,10.18
LEONARD ISD,Texas,FANNIN COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,877,61.97,14.15
LEONIA PUBLIC SCHOOL DISTRICT,New Jersey,BERGEN COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,1474,165.6,8.9
LEOPOLD R-III,Missouri,BOLLINGER COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Kindergarten,12th Grade,173,18.17,9.52
LEOTI,Kansas,WICHITA COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,448,44.6,10.04
LEROY CUSD 2,Illinois,MCLEAN COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,791,61.98,12.76
LEROY-GRIDLEY,Kansas,COFFEY COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,236,–,–
LEROY-OSTRANDER PUBLIC SCHOOLS,Minnesota,MOWER COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,296,26.26,11.27
LES CHENEAUX COMMUNITY SCHOOLS,Michigan,MACKINAC COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Kindergarten,12th Grade,248,17,14.59
LESLIE COUNTY,Kentucky,LESLIE COUNTY,6,†,6,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,1852,103.13,17.96
LESLIE PUBLIC SCHOOLS,Michigan,INGHAM COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,1331,75.52,17.62
LESTER PRAIRIE PUBLIC SCHOOL DIST.,Minnesota,MCLEOD COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,437,30,14.57
LESTERVILLE R-IV,Missouri,REYNOLDS COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,235,36,6.53
LETCHER COUNTY,Kentucky,LETCHER COUNTY,10,†,10,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,3269,214.6,15.23
LETCHWORTH CENTRAL SCHOOL DISTRICT,New York,WYOMING COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,942,96.06,9.81
LEVEL UP ACADEMY,MINNESOTA,HENNEPIN COUNTY,0,0,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,†,†,†,†,†
LEVELLAND ISD,Texas,HOCKLEY COUNTY,7,0,7,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,3156,249.95,12.63
LEVERETT,Massachusetts,FRANKLIN COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,6th Grade,133,14.73,9.03
LEVERETTS CHAPEL ISD,Texas,RUSK COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,277,28.61,9.68
LEVITTOWN UNION FREE SCHOOL DISTRICT,New York,NASSAU COUNTY,10,0,10,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Kindergarten,12th Grade,7240,611.69,11.84
LEVY,Florida,LEVY COUNTY,16,2,18,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,2-All associated schools are charter and noncharter,Prekindergarten,12th Grade,5497,348.29,15.78
LEWIS,Kansas,EDWARDS COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,112,–,–
LEWIS & CLARK,Montana,LEWIS AND CLARK COUNTY,0,†,†,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),33-Town: Remote,†,†,†,–,–,–
LEWIS AND CLARK 161,North Dakota,WARD COUNTY,4,†,4,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,416,42.1,9.88
LEWIS CASS ISD,Michigan,CASS COUNTY,2,0,2,4-Regional Education Service Agency (RESA),31-Town: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,269,20.5,13.12
LEWIS CENTRAL COMM SCHOOL DISTRICT,Iowa,POTTAWATTAMIE COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,13-City: Small,3-All associated schools are noncharter,Prekindergarten,12th Grade,2649,190.92,13.87
LEWIS CO. C-1,Missouri,LEWIS COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,984,73.26,13.43
LEWIS COUNTY,Tennessee,LEWIS COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,1857,133.8,13.88
LEWIS COUNTY,Kentucky,LEWIS COUNTY,7,†,7,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,2354,138,17.06
LEWIS COUNTY SCHOOLS,West Virginia,LEWIS COUNTY,6,†,6,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,2576,182,14.15
LEWIS SCHOOL DISTRICT,Vermont,ESSEX COUNTY,0,†,†,2-Local school district that is a component of a supervisory union,43-Rural: Remote,†,Prekindergarten,12th Grade,0,–,–
LEWIS-PALMER CONSOLIDATED SCHOOL DISTRICT NO. 38 IN THE CO,Colorado,EL PASO COUNTY,9,1,9,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,2-All associated schools are charter and noncharter,Prekindergarten,12th Grade,6207,348.48,17.81
LEWISBURG AREA SD,Pennsylvania,UNION COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,1945,133.07,14.62
LEWISTON CONSOLIDATED SCHOOLS,Nebraska,PAWNEE COUNTY,2,†,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,179,–,–
LEWISTON ELEMENTARY,California,TRINITY COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Kindergarten,8th Grade,51,3,17
LEWISTON INDEPENDENT DISTRICT,Idaho,NEZ PERCE COUNTY,12,0,12,1-Regular local school district that is NOT a component of a supervisory union,13-City: Small,3-All associated schools are noncharter,Prekindergarten,12th Grade,4726,284.23,16.63
LEWISTON PUBLIC SCHOOLS,Maine,ANDROSCOGGIN COUNTY,9,0,9,1-Regular local school district that is NOT a component of a supervisory union,13-City: Small,3-All associated schools are noncharter,Prekindergarten,12th Grade,5317,420.04,12.66
LEWISTON-ALTURA PUBLIC SCHOOL DIST.,Minnesota,WINONA COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,740,56.87,13.01
LEWISTON-PORTER CENTRAL SCHOOL DISTRICT,New York,NIAGARA COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,2112,165.77,12.74
LEWISTOWN CUSD 97,Illinois,FULTON COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,704,47,14.98
LEWISTOWN ELEM,Montana,FERGUS COUNTY,4,†,4,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,8th Grade,805,–,–
LEWISVILLE ISD,Texas,DENTON COUNTY,70,0,72,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,53356,3733.7,14.29
LEXINGTON,Tennessee,HENDERSON COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,Prekindergarten,8th Grade,1011,76.7,13.18
LEXINGTON,Massachusetts,MIDDLESEX COUNTY,10,0,10,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,6785,548.66,12.37
LEXINGTON,Oklahoma,CLEVELAND COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,31-Town: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,1159,66.5,17.43
LEXINGTON 01,South Carolina,LEXINGTON COUNTY,30,0,30,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,24694,1714.2,14.41
LEXINGTON 02,South Carolina,LEXINGTON COUNTY,15,0,15,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,8991,612,14.69
LEXINGTON 03,South Carolina,LEXINGTON COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,2015,136,14.82
LEXINGTON 04,South Carolina,LEXINGTON COUNTY,7,0,7,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,3454,190.4,18.14
LEXINGTON 05,South Carolina,RICHLAND COUNTY,21,0,22,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,16738,1219.8,13.72
LEXINGTON CITY PBLC SCHS,Virginia,LEXINGTON CITY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,Prekindergarten,8th Grade,495,41.4,11.96
LEXINGTON CITY SCHOOLS,North Carolina,DAVIDSON COUNTY,7,0,7,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,3151,209.88,15.01
LEXINGTON CUSD 7,Illinois,MCLEAN COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,510,43.5,11.72
LEXINGTON ISD,Texas,LEE COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,964,79.95,12.06
LEXINGTON LOCAL,Ohio,RICHLAND COUNTY,5,0,5,1-Regular local school district that is NOT a component of a supervisory union,23-Suburb: Small,3-All associated schools are noncharter,Prekindergarten,12th Grade,2428,–,–
LEXINGTON PUBLIC SCHOOLS,Nebraska,DAWSON COUNTY,8,†,8,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,2995,–,–
LEXINGTON R-V,Missouri,LAFAYETTE COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,978,78.65,12.43
LEYDEN AREA SPEC EDUC COOP,Illinois,COOK COUNTY,0,0,†,4-Regional Education Service Agency (RESA),21-Suburb: Large,†,†,†,–,0,–
LEYDEN CHSD 212,Illinois,COOK COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,9th Grade,12th Grade,3423,214.89,15.93
LEYTON PUBLIC SCHOOLS,Nebraska,CHEYENNE COUNTY,2,†,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,213,–,–
LIBBY K-12 SCHOOLS,Montana,LINCOLN COUNTY,3,†,3,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,1144,–,–
LIBERAL,Kansas,SEWARD COUNTY,12,0,12,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,5070,351,14.44
LIBERAL R-II,Missouri,BARTON COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,449,41.68,10.77
LIBERTY,Oklahoma,TULSA COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,564,36.49,15.46
LIBERTY,Montana,LIBERTY COUNTY,0,†,†,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),43-Rural: Remote,†,†,†,–,–,–
LIBERTY,Florida,LIBERTY COUNTY,10,0,11,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,1431,107.93,13.26
LIBERTY,Oklahoma,SEQUOYAH COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,8th Grade,266,18.71,14.22
LIBERTY 53,Missouri,CLAY COUNTY,20,0,20,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,12009,763.49,15.73
LIBERTY CENTER LOCAL,Ohio,HENRY COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Kindergarten,12th Grade,1082,–,–
LIBERTY CENTRAL SCHOOL DISTRICT,New York,SULLIVAN COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,1647,139.14,11.84
LIBERTY CHARTER,Idaho,CANYON COUNTY,1,1,1,7-Independent Charter District,41-Rural: Fringe,1-All associated schools are charter schools,Prekindergarten,12th Grade,421,15.37,27.39
LIBERTY COUNTY,Georgia,LIBERTY COUNTY,13,0,13,1-Regular local school district that is NOT a component of a supervisory union,13-City: Small,3-All associated schools are noncharter,Prekindergarten,12th Grade,10077,654.5,15.4
LIBERTY CUSD 2,Illinois,ADAMS COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,653,46.42,14.07
LIBERTY ELEM,Montana,LIBERTY COUNTY,2,†,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,8th Grade,20,–,–
LIBERTY ELEMENTARY,California,TULARE COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Kindergarten,8th Grade,414,20,20.7
LIBERTY ELEMENTARY,California,SONOMA COUNTY,3,2,3,1-Regular local school district that is NOT a component of a supervisory union,22-Suburb: Mid-size,2-All associated schools are charter and noncharter,Kindergarten,12th Grade,958,194,4.94
LIBERTY ELEMENTARY DISTRICT,Arizona,MARICOPA COUNTY,5,3,5,1-Regular local school district that is NOT a component of a supervisory union,31-Town: Fringe,2-All associated schools are charter and noncharter,Prekindergarten,8th Grade,3332,175.3,19.01
LIBERTY HIGH SCHOOL,Arizona,GILA COUNTY,1,1,1,7-Independent Charter District,33-Town: Remote,1-All associated schools are charter schools,7th Grade,12th Grade,85,–,–
LIBERTY HILL ISD,Texas,WILLIAMSON COUNTY,6,0,7,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,3218,215.93,14.9
LIBERTY ISD,Texas,LIBERTY COUNTY,5,0,5,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,2115,134.55,15.72
LIBERTY J-4 SCHOOL DISTRICT,Colorado,YUMA COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,80,4.89,16.36
LIBERTY LOCAL,Ohio,TRUMBULL COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,1171,–,–
